name;actor;description;photo_url;character_url
SIGURD SNAKE IN THE EYE;David Lindstro_m;No description available;https://cropper.watch.aetnd.com/cdn.watch.aetnd.com/sites/2/2016/11/vikings_4b_cast_sigurd.jpg?w=840;https://www.history.com/shows/vikings/cast/sigurd-snake-in-the-eye
UBBE;Jordan Patrick Smith;No description available;https://cropper.watch.aetnd.com/cdn.watch.aetnd.com/sites/2/2016/11/vikings_4b_cast_ubbe.jpg?w=840;https://www.history.com/shows/vikings/cast/ubbe
THE SEER;John Kavanagh;The ancient seer is one of the most important figures in Viking life because the Vikings believe in fate and the Seers can read the runes and often translate the wishes of the gods.;https://cropper.watch.aetnd.com/cdn.watch.aetnd.com/sites/2/2016/10/vikings_season4_cast_seer.jpg?w=840;https://www.history.com/shows/vikings/cast/the-seer
Chieftain Olav;Henrik Mestad;the leader of the village. He finds a route to sail west,  and is in possession of a much-coveted map.;https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Henrik_Mestad_som_konge_i_spelet_2013.jpg/220px-Henrik_Mestad_som_konge_i_spelet_2013.jpg;https://en.wikipedia.org/wiki/Henrik_Mestad
tad Ottesen;Marian Saastad Ottesen;;;https://en.wikipedia.org/wiki/Marian_Saastad_Ottesen
Arvid;Nils Jørgen Kaalstad;the chieftain's second-in-command. He loves to go on raids but he also wants to settle in the village.;;https://en.wikipedia.org/wiki/Nils_J%C3%B8rgen_Kaalstad
Orm;Kåre Conradi;Olav's closeted homosexual brother and husband of Frøya;https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Vikingane-_To-spr%C3%A5klig_humorsuksess_-_NMD_2018_%2841173304804%29_%28cropped%29.jpg/220px-Vikingane-_To-spr%C3%A5klig_humorsuksess_-_NMD_2018_%2841173304804%29_%28cropped%29.jpg;https://en.wikipedia.org/wiki/K%C3%A5re_Conradi
Frøya;Silje Torp;a shield-maiden who joins in on raids and is married to Orm;https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Portrait_of_Silje_Torp.jpg/220px-Portrait_of_Silje_Torp.jpg;https://en.wikipedia.org/wiki/Silje_Torp
Rufus;Trond Fausa Aurvåg;an enslaved actor from Rome who befriends Orm and plans to modernize the village;;https://en.wikipedia.org/wiki/Trond_Fausa_Aurv%C3%A5g
Kark;Øystein Martinsen;a freed slave who h;;https://en.wikipedia.org/wiki/%C3%98ystein_Martinsen
Jarl Varg;Jon Øigarden;the regional overlord and main antagonist of the show;https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Norway_film_clapperboard.svg/30px-Norway_film_clapperboard.svg.png;https://en.wikipedia.org/wiki/Jon_%C3%98igarden
Liv;Kristine Riis;Arvid's gold digger wife;https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Vikingane-_To-spr%C3%A5klig_humorsuksess_-_NMD_2018_%2841173304514%29_%28cropped%29.jpg/220px-Vikingane-_To-spr%C3%A5klig_humorsuksess_-_NMD_2018_%2841173304514%29_%28cropped%29.jpg;https://en.wikipedia.org/wiki/Kristine_Riis
Torstein Hund;Bjørn Myrene;Varg's right-hand man;;https://en.wikipedia.org/w/index.php?title=Bj%C3%B8rn_Myrene&action=edit&redlink=1
Ragnar;Mikkel Bratt Silset;Arvid's right-hand man;;https://en.wikipedia.org/wiki/Mikkel_Bratt_Silset
Ørn;André Eriksen;a local Viking;https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Andr%C3%A9_Eriksen_%28213356%29.jpg/220px-Andr%C3%A9_Eriksen_%28213356%29.jpg;https://en.wikipedia.org/wiki/Andr%C3%A9_Eriksen
Jarl Bjørn;Thorbjørn Harr;Varg's former friend,  turned enemy;;https://en.wikipedia.org/wiki/Thorbj%C3%B8rn_Harr
Vebjørn;Stig Frode Henriksen;;https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Hellfjord_Q%26A_-_Filmfestival_Linz_%28cropped%29.jpg/220px-Hellfjord_Q%26A_-_Filmfestival_Linz_%28cropped%29.jpg;https://en.wikipedia.org/wiki/Stig_Frode_Henriksen
